AutoRank,GenderRank,AgeGroupRank,Bib,Lastname,Firstname,Gender,AgeGroup,Club,Time,Contest.NameShort,ColumnName4,ColumnData4,Фамилия Имя,Время,Пол
1,1,1,160,Кравченко,Кирилл,m,M ABS,,08:44:22,Полная 226,Город,Москва,Кравченко Кирилл,08:44:22.0,М
2,2,2,28,Ермаков,Даниил,m,M ABS,VTB IRON TEAM,08:57:31,Полная 226,Город,Москва,Ермаков Даниил,08:57:31.0,М
3,3,3,10,Дробинин,Дмитрий,m,M ABS,ТриКо,09:07:04,Полная 226,Город,Подольск,Дробинин Дмитрий,09:07:04.0,М
4,4,1,39,Харитонов,Никита,m,M18-29,Многобор,09:12:42,Полная 226,Город,Светлогорск,Харитонов Никита,09:12:42.0,М
5,5,1,47,Arzamasov,Ilya,m,M35-39,Arza Running Club,09:20:06,Полная 226,Город,Минск,Arzamasov Ilya,09:20:06.0,М
6,6,2,36,Мосалев,Артем,m,M35-39,ENDURANCE,09:25:35,Полная 226,Город,Москва,Мосалев Артем,09:25:35.0,М
7,7,1,65,Кулагин,Виктор,m,M30-34,,09:28:20,Полная 226,Город,Екатеринбург,Кулагин Виктор,09:28:20.0,М
8,8,1,31,Кость,Максим,m,M40-44,Grebenstar,09:28:35,Полная 226,Город,Минск,Кость Максим,09:28:35.0,М
9,9,2,99,Раенко,Руслан,m,M40-44,MineevTriathlonTeam,09:33:09,Полная 226,Город,Ростов-на-Дону,Раенко Руслан,09:33:09.0,М
10,10,1,27,Тулисов,Эдуард,m,M50-54,TRIM,09:33:56,Полная 226,Город,Тула,Тулисов Эдуард,09:33:56.0,М
11,11,3,116,Меньшиков,Александр,m,M35-39,CityLink Triathlon Team,09:36:06,Полная 226,Город,Petrozavodsk,Меньшиков Александр,09:36:06.0,М
12,12,3,104,Елизаров,Сергей,m,M40-44,,09:36:20,Полная 226,Город,Псков,Елизаров Сергей,09:36:20.0,М
13,13,4,52,Богуш,Вадим,m,M40-44,Altius,09:39:55,Полная 226,Город,Минск,Богуш Вадим,09:39:55.0,М
14,14,4,38,Тимохин,Егор,m,M35-39,Команда Мечты,09:40:23,Полная 226,Город,Москва,Тимохин Егор,09:40:23.0,М
15,15,1,158,Новгородов,Владислав,m,M45-49,DWC,09:50:13,Полная 226,Город,Москва,Новгородов Владислав,09:50:13.0,М
16,16,2,131,Фахрутдинов,Артем,m,M18-29,Динамо Бежит,09:52:10,Полная 226,Город,Москва,Фахрутдинов Артем,09:52:10.0,М
17,17,5,161,Марчев,Александр,m,M40-44,Динамика,09:52:26,Полная 226,Город,Псков,Марчев Александр,09:52:26.0,М
18,18,5,76,Петровичев,Валентин,m,M35-39,Жёлтая субмарина,09:53:02,Полная 226,Город,Гомель,Петровичев Валентин,09:53:02.0,М
19,19,6,144,Кузь,Владимир,m,M40-44,LyatskyTeam,09:53:33,Полная 226,Город,Псков,Кузь Владимир,09:53:33.0,М
20,20,2,136,Юматов,Михаил,m,M45-49,TRI_Elements,10:04:21,Полная 226,Город,Новосибирск,Юматов Михаил,10:04:21.0,М
21,21,3,59,Fomin,Mikhail,m,M45-49,Citylink Triathlon Team,10:05:04,Полная 226,Город,Petrozavodsk,Fomin Mikhail,10:05:04.0,М
22,22,7,140,Денисов,Евгений,m,M40-44,Major,10:06:07,Полная 226,Город,Москва,Денисов Евгений,10:06:07.0,М
23,23,6,159,Гришин,Александр,m,M35-39,MineevTriathlonTeam,10:08:41,Полная 226,Город,Ростов на Дону,Гришин Александр,10:08:41.0,М
24,24,8,45,Новицкий,Александр,m,M40-44,SPIRIT Endurance,10:14:24,Полная 226,Город,Минск,Новицкий Александр,10:14:24.0,М
25,25,4,55,Борисов,Дмитрий,m,M45-49,,10:20:32,Полная 226,Город,Псков,Борисов Дмитрий,10:20:32.0,М
26,26,7,81,Никифоров,Максим,m,M35-39,,10:23:07,Полная 226,Город,Санкт-Петербург,Никифоров Максим,10:23:07.0,М
27,27,5,103,Данилкин,Алексей,m,M45-49,,10:24:56,Полная 226,Город,Рязань,Данилкин Алексей,10:24:56.0,М
28,28,8,95,Грачев,Николай,m,M35-39,БегуныЖе,10:25:36,Полная 226,Город,Железногорск,Грачев Николай,10:25:36.0,М
29,29,9,90,Вашкевич,Виктор,m,M40-44,,10:26:48,Полная 226,Город,Брест,Вашкевич Виктор,10:26:48.0,М
30,30,2,115,Тычкин,Антон,m,M50-54,Carbobubl Team,10:28:16,Полная 226,Город,Санкт-Петербург,Тычкин Антон,10:28:16.0,М
31,31,9,46,Чечура,Андрей,m,M35-39,МНОГОБОР,10:31:32,Полная 226,Город,Светлогорск,Чечура Андрей,10:31:32.0,М
32,32,10,156,Бань,Александр,m,M35-39,,10:31:42,Полная 226,Город,Рязань,Бань Александр,10:31:42.0,М
33,33,2,43,Лебедев,Даниил,m,M30-34,EasyTri,10:32:58,Полная 226,Город,Тула,Лебедев Даниил,10:32:58.0,М
34,34,3,126,Ломаев,Алексей,m,M50-54,,10:34:17,Полная 226,Город,Старая Русса,Ломаев Алексей,10:34:17.0,М
35,35,10,97,Тарасенко,Артем,m,M40-44,,10:34:21,Полная 226,Город,Витебск,Тарасенко Артем,10:34:21.0,М
36,36,11,100,Русак,Дмитрий,m,M35-39,,10:35:05,Полная 226,Город,Ростов-на-Дону,Русак Дмитрий,10:35:05.0,М
37,37,4,117,Викентьев,Алексей,m,M50-54,,10:36:19,Полная 226,Город,Минск,Викентьев Алексей,10:36:19.0,М
38,38,12,24,Родионов,Владимир,m,M35-39,Sberbank Triathlon Team,10:38:33,Полная 226,Город,Москва,Родионов Владимир,10:38:33.0,М
39,39,13,22,Мостовский,Николай,m,M35-39,Жёлтая Субмарина,10:39:04,Полная 226,Город,Гомель,Мостовский Николай,10:39:04.0,М
40,40,14,147,Майсак,Евгений,m,M35-39,Нет,10:40:57,Полная 226,Город,Минск,Майсак Евгений,10:40:57.0,М
41,41,3,21,Shevchuk,Denis,m,M18-29,,10:41:57,Полная 226,Город,Москва,Shevchuk Denis,10:41:57.0,М
42,42,11,15,Жиделев,Александр,m,M40-44,,10:44:01,Полная 226,Город,Minsk,Жиделев Александр,10:44:01.0,М
43,43,15,8,Шпакович,Максим,m,M35-39,,10:44:40,Полная 226,Город,Минск,Шпакович Максим,10:44:40.0,М
44,44,16,119,Паршин,Дмитрий,m,M35-39,Amberman,10:45:39,Полная 226,Город,Калининград,Паршин Дмитрий,10:45:39.0,М
45,45,5,96,Гацко,Дмитрий,m,M50-54,Tristyle,10:45:45,Полная 226,Город,Минск,Гацко Дмитрий,10:45:45.0,М
46,46,3,82,Смоляк,Денис,m,M30-34,Tristyle,10:46:31,Полная 226,Город,Минск,Смоляк Денис,10:46:31.0,М
47,47,12,60,Коноплëв,Иван,m,M40-44,DitsTeam,10:50:16,Полная 226,Город,Красноярск,Коноплëв Иван,10:50:16.0,М
48,48,13,54,Захаров,Юрий,m,M40-44,,10:51:14,Полная 226,Город,Санкт-Петербург,Захаров Юрий,10:51:14.0,М
49,49,14,56,Плотников,Сергей,m,M40-44,,10:52:44,Полная 226,Город,Пермь,Плотников Сергей,10:52:44.0,М
50,50,15,108,Гузинский,Юрий,m,M40-44,РЭМ,10:56:07,Полная 226,Город,Владивосток,Гузинский Юрий,10:56:07.0,М
51,51,16,84,Макеев,Антон,m,M40-44,Legion CC,10:56:59,Полная 226,Город,Москва,Макеев Антон,10:56:59.0,М
52,52,17,64,Конопляник,Владимир,m,M40-44,Многобор,10:59:52,Полная 226,Город,Речица,Конопляник Владимир,10:59:52.0,М
53,53,17,57,Котельников,Дмитрий,m,M35-39,Академия Бега Эльзы Киреевой,11:00:20,Полная 226,Город,Уфа,Котельников Дмитрий,11:00:20.0,М
54,54,18,58,Плаксеев,Евгений,m,M35-39,Академия бега Эльзы Киреевой,11:09:06,Полная 226,Город,Уфа,Плаксеев Евгений,11:09:06.0,М
55,55,6,98,Доманников,Дмитрий,m,M45-49,Mitrei Team,11:12:24,Полная 226,Город,Гомель,Доманников Дмитрий,11:12:24.0,М
