№,▼▲,ФИО,Клуб,AG,Место в AG,Империал Индор Триатлон,Зимний триатлон. Логойск,Зимний дуатлон. Логойск,Минск Индор Триатлон,Дуатлон. Дрогичин,Триатлон МогиЛев,Олимпийка. Брест,Кросс-триатлон. У Ганны,Спринт. Гомель,Спринт. Святск,Полная. Минский Триатлон,Половинка. Минский Триатлон,Олимпийка. Минский Триатлон,Спринт. Минский Триатлон,Кросс-триатлон. Гомель,Кросс-дуатлон. Гомель,Сумма
1,−0,Шинкарёв Алексей Васильевич,ON-BIKE,45-49,,700.0,,700.0,669.03,,664.53,732.36,687.2,640.9,660.55,,836.38,,,700.0,,5020.47
2,▲3,Петровичев Валентин Сергеевич,Yellow Submarine,35-39,,649.06,547.76,,664.35,644.54,,705.79,,656.97,,918.92,,,,,700.0,4939.63
3,▼1,Скудный Евгений Викторович,Tristyle,35-39,,643.73,,,635.14,627.05,655.39,753.84,,,668.42,,864.83,,,,,4848.40
4,▼1,Гуштын Никита Александрович,Tristyle,18-24,1,683.41,639.96,,684.22,699.39,692.96,752.3,,,,,,,688.37,,,4840.61
5,▼1,Новицкий Александр Николаевич,Altius!,40-44,1,630.1,,,648.58,646.1,640.16,730.09,,,652.11,875.96,,,,,,4823.10
6,−0,Викентьев Алексей Эдуардович,-,50-54,1,645.5,,,632.8,652.01,617.3,723.78,,,645.52,831.9,,,,,,4748.81
7,−0,Гацко Дмитрий Михайлович,Tristyle,50-54,2,647.28,542.56,,629.29,614.07,642.59,730.62,626.43,,649.89,812.94,,,,,,4726.68
8,−0,Шипуль Андрей Анатольевич,Yellow submarine,35-39,1,654.39,,,640.98,583.78,662.75,733.46,608.81,661.46,,743.18,,,,650.69,,4689.71
9,▲9,Ларионов Андрей Алексеевич,Biketourist.club,45-49,1,597.52,,,597.15,631.49,634.1,715.41,,,,,826.96,,,679.63,,4682.26
10,▼1,Дашкевич Павел Юрьевич,СК Сож,25-29,1,634.84,,,617.61,606.51,619.12,649.43,,635.26,,,825.92,,,,659.89,4630.97
11,▼1,Харитонов Никита Витальевич,Многобор,25-29,2,,700.0,,677.21,700.0,,786.31,,700.0,,1000.0,,,,,,4563.52
12,▼1,Девятников Дмитрий Викторович,-,40-44,2,587.45,,,572.03,566.21,579.33,635.09,,552.59,644.29,,750.69,,,,,4335.09
13,▼1,Слободько Дмитрий Владимирович,Magicsport,40-44,3,,503.82,,548.07,645.24,,686.69,640.21,,645.52,597.63,,,,,,4267.18
14,▼1,Элрифай Таха мохамед,TRIVIDA,40-44,4,535.32,,,546.9,596.32,565.5,617.65,,558.34,610.18,740.23,,,,,,4235.12
15,▼1,Коротыш Федор Дмитриевич,Тристайл,18-24,2,671.57,,,684.22,661.58,673.59,728.63,,,,,,794.99,,,,4214.58
16,▼1,Шпиленя Алексей Сергеевич,-,30-34,1,,424.85,,514.76,576.86,599.16,649.66,,,645.52,,763.35,,,,,4174.16
17,▼1,Юрков Александр Сергеевич,SQMINSK,45-49,2,527.62,236.37,,565.01,590.8,565.65,639.27,,,586.58,638.17,,,,,568.7,4154.18
18,▼1,Мостовский Николай Янович,Жёлтая Субмарина,35-39,2,654.98,,,652.08,,647.8,709.33,,615.82,,826.37,,,,611.0,,4106.38
19,−0,Паленый Виктор Сергеевич,RUN4FUN.BY,40-44,5,604.04,,,614.1,634.41,,,,605.54,645.52,,841.89,,,,,3945.50
20,−0,Прокопович Сергей Сергеевич,Tristyle,35-39,3,627.73,,,619.36,644.44,604.99,602.61,,,,690.27,,,,,,3789.40
21,−0,Кость Максим Александрович,Grebenstar,40-44,6,674.53,,,663.19,,628.32,781.0,,,,968.07,,,,,,3715.11
22,−0,Тумаш Василий Станиславович,-,55-59,1,,471.74,,,480.25,524.47,562.43,569.66,,573.91,530.89,,,,,,3713.35
23,−0,Кушель Максим Юрьевич,-,25-29,3,,,,520.02,571.4,600.61,613.46,,,645.52,,715.63,,,,,3666.64
24,▲7,Кирилюк Денис Игоревич,-,30-34,2,531.18,,,546.31,550.06,,641.96,,,,,,733.79,,546.1,,3549.40
25,▲14,Новиков Анатолий Евгеньевич,ALTIUS!,45-49,3,,,,,670.5,700.0,800.0,,684.06,,,,,,637.96,,3492.52
26,▲12,Тарасенко Артем Викторович,-,40-44,7,,,,,,640.35,738.92,645.9,,,835.86,,,,623.92,,3484.95
27,▼3,Леончик Владимир Сергеевич,Tristyle,40-44,8,,,,,616.82,627.65,726.52,,,645.52,,854.25,,,,,3470.76
28,▲6,Чавлытко Александр Даниилович,Крынiца,55-59,2,,,,,498.76,452.79,,455.93,427.97,515.66,,599.66,,,508.18,,3458.95
29,▼4,Жук Олег Анатольевич,-----,45-49,4,,,584.55,521.19,,522.68,,576.53,,605.92,,,,616.88,,,3427.75
30,▼4,Шульгич Андрей Игоревич,Tristyle,40-44,9,606.41,,,,652.27,616.26,,,,645.52,,,800.0,,,,3320.46
31,▼4,Шпакович Максим Валерьевич,-,35-39,4,614.11,,,596.57,,,677.15,,608.09,,815.12,,,,,,3311.04
32,▲10,Харитонов Виталий Сергеевич,Многобор,45-49,5,,645.85,,,652.53,656.62,,,649.39,,,,,,677.49,,3281.88
33,▲8,Драпун Александр Игоревич,Tristyle,25-29,4,587.45,,,,,,,,607.88,645.52,,818.28,,,616.14,,3275.27
34,▼6,Лебедев Александр Михайлович,NE PROFI,40-44,10,445.87,,,468.01,328.3,500.89,486.03,,455.9,,,,,512.42,,,3197.42
35,▲9,Конопляник Владимир Владимирович,Многобор,40-44,11,,,553.66,,,582.84,,,572.68,,784.56,,,,618.67,,3112.41
36,▼7,Леончик Юрий Николаевич,Tristyle,35-39,5,565.53,,,526.45,,,614.34,,,614.35,,745.42,,,,,3066.09
