AutoRank,GenderRank,AgeGroupRank,Bib,Lastname,Firstname,Gender,AgeGroup,Club,Time,Contest.NameShort,ColumnName4,ColumnData4,Фамилия Имя,Время,Пол,Место,Очки в рейтинг
1,1,1,3271,Rzazde,Ali,m,M ABS,,01:02:14,"Спринт 25,75",Город,Baku,Rzazde Ali,01:02:14.0,М
2,2,2,3125,Жабин,Дмитрий,m,M ABS,Record,01:05:27,"Спринт 25,75",Город,Тула,Жабин Дмитрий,01:05:27.0,М
3,3,3,3272,Abbaszada,Riad,m,M ABS,,01:05:52,"Спринт 25,75",Город,Baku,Abbaszada Riad,01:05:52.0,М
4,4,1,3015,Саcковец,Виталий,m,M25-34,CADENCE,01:06:08,"Спринт 25,75",Город,Минск,Саcковец Виталий,01:06:08.0,М
5,5,2,3203,Малышев,Евгенний,m,M25-34,,01:08:00,"Спринт 25,75",Город,Минск,Малышев Евгенний,01:08:00.0,М,1,700.0
6,6,1,3072,Ходырев,Илья,m,M18-24,Swiftman,01:08:34,"Спринт 25,75",Город,Киров,Ходырев Илья,01:08:34.0,М
7,7,1,3007,Напрасников,Даниил,m,M35-39,МГУ,01:08:50,"Спринт 25,75",Город,Москва,Напрасников Даниил,01:08:50.0,М
8,8,1,3258,Журавлёв,Григорий,m,M40-59,NeGrusTeam,01:08:59,"Спринт 25,75",Город,Минск,Журавлёв Григорий,01:08:59.0,М
9,9,2,3026,Gushtyn,Nikita,m,M18-24,Tristyle,01:09:01,"Спринт 25,75",Город,Minsk,Gushtyn Nikita,01:09:01.0,М,2,688.37
10,10,2,3025,Ракович,Андрей,m,M40-59,,01:09:10,"Спринт 25,75",Город,Минск,Ракович Андрей,01:09:10.0,М
11,11,3,3033,Михайлов,Артем,m,M25-34,TRISPORT,01:09:32,"Спринт 25,75",Город,Тула,Михайлов Артем,01:09:32.0,М
12,12,4,3241,Безменов,Виталий,m,M25-34,#GPNTriClub,01:10:29,"Спринт 25,75",Город,Санкт-Петербург,Безменов Виталий,01:10:29.0,М
13,13,3,3010,Ржевский,Олег,m,M40-59,Impulse,01:11:22,"Спринт 25,75",Город,Белгород,Ржевский Олег,01:11:22.0,М
14,14,4,3232,Алексейчиков,Иван,m,M40-59,MogilevTriathlonTeam,01:11:38,"Спринт 25,75",Город,Могилев,Алексейчиков Иван,01:11:38.0,М
16,15,5,3210,Корчагин,Роман,m,M40-59,,01:12:14,"Спринт 25,75",Город,Иваново,Корчагин Роман,01:12:14.0,М
17,16,6,3162,Берегалов,Андрей,m,M40-59,Уралхим Run Factory,01:12:31,"Спринт 25,75",Город,Кирово-Чепецк,Берегалов Андрей,01:12:31.0,М
18,17,2,3005,Грицкевич,Илья,m,M35-39,Grebenstar,01:12:46,"Спринт 25,75",Город,Минск,Грицкевич Илья,01:12:46.0,М,3,645.48
19,18,7,3008,Спешков,Андрей,m,M40-59,MySwim,01:12:53,"Спринт 25,75",Город,Челябинск,Спешков Андрей,01:12:53.0,М
20,19,5,3140,Мороз,Никита,m,M25-34,Firenze triathlon,01:13:12,"Спринт 25,75",Город,Минск,Мороз Никита,01:13:12.0,М
21,20,1,3267,Бобок,Алексей,m,Юниоры,,01:13:57,"Спринт 25,75",Город,Минск,Бобок Алексей,01:13:57.0,М
22,21,3,3226,Бачило,Владимир,m,M35-39,,01:14:43,"Спринт 25,75",Город,Москва,Бачило Владимир,01:14:43.0,М
